N,P,K,temperature,humidity,ph,rainfall,label
100.16,21.41,53.84,30.21,92.93,6.47,23.92,muskmelon
100.55,18.77,52.72,25.62,90.9,6.76,41.17,watermelon
48.79,65.3,49.36,36.06,96.9,6.88,159.13,papaya
52.54,58.23,48.1,33.65,91.76,6.43,149.75,papaya
22.08,132.28,209.18,23.78,93.65,5.88,119.24,apple
21.53,22.09,30.74,29.6,53.34,4.08,134.1,mango
23.31,131.72,201.53,21.3,95.01,6.64,113.29,apple
20.21,54.32,26.47,31.23,69.8,4.59,84.0,mothbeans
33.58,58.63,29.96,32.2,87.87,6.88,42.95,mungbean
21.76,73.54,22.78,21.03,65.6,6.08,44.56,lentil
39.16,67.89,23.8,29.95,69.83,6.96,73.67,blackgram
22.78,16.44,34.01,27.52,90.84,5.14,140.04,coconut
24.22,18.96,41.15,23.58,94.58,5.57,135.22,pomegranate
78.48,48.94,39.75,26.45,78.77,6.83,182.05,jute
21.45,15.65,33.58,27.99,95.56,5.01,157.71,coconut
24.69,18.16,41.24,21.29,92.04,5.73,135.62,pomegranate
22.17,126.92,210.66,20.79,90.15,5.53,116.22,apple
62.5,60.28,21.01,19.8,62.37,5.6,94.92,maize
53.55,62.63,52.53,37.65,93.0,6.33,159.54,papaya
100.29,20.35,54.36,28.94,95.27,6.31,29.76,muskmelon
102.93,28.18,28.76,27.25,60.14,6.95,164.29,coffee
54.2,64.78,49.47,36.12,90.51,6.84,143.49,papaya
19.08,15.49,13.42,13.78,90.66,7.26,115.56,orange
52.75,65.63,51.58,37.57,96.77,6.85,146.2,papaya
49.76,62.19,85.96,18.64,23.29,6.29,79.53,chickpea
79.37,50.29,44.16,26.89,80.27,6.8,174.21,jute
32.76,56.4,18.5,29.98,91.89,6.25,58.47,mungbean
21.02,20.72,14.57,11.31,91.47,7.45,110.08,orange
39.98,71.53,26.98,23.65,48.58,7.0,124.15,pigeonpeas
95.94,52.13,40.09,20.71,86.64,5.51,216.08,rice
23.48,19.98,42.85,25.45,90.68,6.16,137.62,pomegranate
25.47,49.76,18.99,29.6,56.13,6.38,55.7,mothbeans
78.71,47.35,44.9,25.57,78.98,6.22,179.64,jute
20.57,62.12,22.4,16.97,69.92,7.56,43.9,lentil
77.26,45.27,41.01,24.19,83.52,6.53,170.58,jute
42.52,61.51,17.01,28.39,66.29,6.14,74.1,blackgram
79.69,46.02,41.87,25.95,80.73,6.5,187.51,jute
41.86,71.76,84.62,20.14,14.71,7.74,82.46,chickpea
45.09,76.82,75.77,22.21,19.08,7.91,86.37,chickpea
34.2,66.29,23.65,23.75,21.21,6.04,124.71,kidneybeans
53.97,59.76,48.45,36.69,91.48,6.39,141.28,papaya
21.09,15.65,34.78,28.01,59.03,6.59,146.46,mango
49.24,70.18,20.08,30.23,69.79,6.14,85.29,blackgram
75.6,51.6,23.33,22.87,69.44,6.01,97.96,maize
20.94,59.23,26.15,31.31,87.71,6.25,96.52,mungbean
60.66,51.18,20.78,19.19,63.51,6.53,108.04,maize
28.5,65.75,19.53,23.36,40.0,5.83,152.25,pigeonpeas
20.24,17.81,34.49,27.32,92.62,5.5,159.57,coconut
100.07,18.85,50.23,29.07,95.74,6.16,27.87,muskmelon
74.45,60.8,22.49,24.25,63.14,5.88,80.74,maize
34.1,75.96,22.65,28.51,66.94,6.28,75.66,blackgram
